Date,Sec1,Sec2,Sec3,Sec4,Sec5,Sec6,Sec7,Sec8,Sec9,Sec10,B1
2019/5/17,-0.007,0.005,-0.003,-0.008,-0.006,-0.011,-0.002,-0.008,-0.01,-0.006,-0.006
2019/5/20,0.001,0.001,-0.002,-0.007,-0.014,-0.003,0,-0.017,0,-0.005,-0.007
2019/5/21,0.01,0.002,-0.002,0.007,0.015,0.012,0.009,0.012,0.012,0.009,0.009
2019/5/22,-0.006,0.007,0.005,-0.01,-0.007,-0.008,0.006,-0.005,-0.015,-0.004,-0.003
2019/5/23,-0.014,0.009,0,-0.012,-0.015,-0.015,-0.003,-0.018,-0.034,-0.011,-0.012
2019/5/24,0.008,-0.002,-0.004,0.001,0.006,0,0.001,0,0.004,0.002,0.002
2019/5/28,-0.012,-0.016,-0.016,-0.007,-0.01,-0.009,-0.014,-0.003,-0.01,-0.011,-0.009
2019/5/29,-0.002,-0.013,-0.007,-0.009,0,-0.005,-0.01,-0.006,-0.006,-0.006,-0.007
2019/5/30,-0.003,-0.002,0.004,0.007,0.002,0.004,0.005,0.006,-0.013,0.001,0.003
2019/5/31,-0.015,0.005,-0.014,-0.013,-0.011,-0.014,-0.007,-0.017,-0.018,-0.012,-0.013
2019/6/3,0.007,0.01,0.013,-0.008,0.031,0.007,0.002,-0.018,0.013,0.006,-0.003
2019/6/4,0.027,0.001,0.009,0.027,0.028,0.024,0.017,0.033,0.017,0.02,0.022
2019/6/5,0.006,0.021,0.011,0.005,0.007,0.01,0.008,0.013,-0.011,0.008,0.009
2019/6/6,0.004,0.006,0.01,0.005,0.012,0.002,0.005,0.012,0.019,0.008,0.007
2019/6/7,-0.001,-0.007,0.01,0.014,0.009,0.008,0.01,0.019,0.005,0.007,0.01
2019/6/10,0.008,-0.007,0,0.008,0.002,0.001,0.003,0.01,0.003,0.003,0.005
2019/6/11,0,-0.006,0.003,0.004,-0.001,-0.009,-0.002,0,0.002,-0.001,0
2019/6/12,-0.01,0.013,0.002,0,0.003,0.002,0.005,-0.006,-0.014,-0.001,-0.002
2019/6/13,0.003,0.002,0.002,0.009,0.006,0.005,-0.001,0.003,0.012,0.005,0.004
2019/6/14,0.002,0.01,0.001,0.002,-0.004,-0.004,-0.002,-0.009,-0.007,-0.001,-0.001
2019/6/17,-0.009,-0.003,-0.003,0,-0.009,-0.003,0.004,0.001,0.008,-0.001,0
2019/6/18,0.013,-0.004,-0.005,0.008,0.008,0.019,0.009,0.018,0.014,0.009,0.01
2019/6/19,-0.002,0.008,0.004,0.002,-0.006,-0.001,0.009,0.004,-0.001,0.002,0.002
2019/6/20,0.004,0.006,0.009,0.007,0.013,0.017,0.004,0.015,0.022,0.011,0.01
2019/6/21,-0.002,0.004,-0.003,-0.005,-0.003,-0.005,0.005,-0.005,0.007,-0.001,-0.001
2019/6/24,-0.004,0,0.003,-0.005,0.004,-0.002,-0.005,0.002,-0.009,-0.002,-0.001
2019/6/25,-0.003,-0.006,-0.001,-0.01,0.001,-0.008,-0.004,-0.018,-0.008,-0.006,-0.01
2019/6/26,-0.002,-0.022,-0.014,0.003,-0.002,0.002,-0.013,0.011,0.015,-0.002,-0.001
2019/6/27,0.009,0.001,0.002,0.006,0.003,0.001,0.007,0.003,-0.007,0.003,0.004
2019/6/28,0.014,0.004,-0.001,0.003,0.008,0.011,0.003,0,0.012,0.006,0.005
2019/7/1,0.012,-0.003,0.006,0.009,0.008,0.001,0.005,0.016,0.001,0.006,0.009
2019/7/2,-0.003,0.014,0.009,0.002,-0.001,-0.001,0.005,0.003,-0.016,0.001,0.003
2019/7/3,0.008,0.007,0.012,0.009,0.005,0.006,0.009,0.008,0.004,0.007,0.008
2019/7/5,0.003,0,-0.004,0.001,-0.005,-0.004,-0.007,-0.002,0.001,-0.002,-0.001
2019/7/8,-0.005,0.001,0.001,0.001,-0.012,-0.008,-0.007,-0.008,0.001,-0.004,-0.005
2019/7/9,0.002,0.001,-0.006,0.001,-0.01,-0.002,0.001,0.004,0.001,-0.001,0.001
2019/7/10,-0.004,0.002,0.006,0.004,-0.002,-0.002,0.003,0.008,0.013,0.003,0.005
2019/7/11,0.006,0,0.003,0.002,0.004,0.007,0,0.004,0.002,0.003,0.002
2019/7/12,0.007,-0.007,0.003,0.011,0.01,0.018,-0.011,0.007,0.004,0.005,0.004
2019/7/15,-0.006,0.004,0.002,0.003,0.001,-0.004,0.002,0.003,-0.009,0,0
2019/7/16,-0.002,-0.006,0,-0.001,0.002,0.006,-0.005,-0.009,-0.011,-0.003,-0.003
2019/7/17,-0.009,0.004,-0.001,-0.01,-0.009,-0.021,0,-0.003,-0.011,-0.007,-0.007
2019/7/18,0.008,0.009,0.007,-0.001,0.004,0.002,0.006,0.007,0,0.005,0.004
2019/7/19,-0.004,-0.015,-0.006,-0.007,0.002,0.005,-0.01,-0.004,0.005,-0.004,-0.006
2019/7/22,0.002,-0.002,-0.006,0.001,-0.003,0.001,-0.002,0.012,0.005,0.001,0.002
2019/7/23,0.01,-0.006,0.007,0.007,0.021,0.013,0.006,0.006,0.003,0.007,0.007
2019/7/24,0.01,0.001,-0.007,0.005,-0.001,0.004,0.001,0.008,0.004,0.003,0.005
2019/7/25,-0.007,-0.003,0.001,-0.006,-0.007,-0.002,-0.005,-0.004,-0.011,-0.005,-0.005
2019/7/26,0.011,0.004,0.011,0.005,0.001,-0.002,0.004,0.002,-0.005,0.003,0.007
2019/7/29,-0.008,0.005,0.002,-0.005,-0.003,-0.002,0.004,-0.001,-0.004,-0.001,-0.002
2019/7/30,-0.003,-0.008,0.003,-0.007,0.007,0.004,-0.004,-0.006,0.011,0,-0.002
2019/7/31,-0.005,-0.005,-0.02,-0.011,-0.015,-0.011,-0.01,-0.015,-0.003,-0.011,-0.011
2019/8/1,-0.023,0.01,-0.004,-0.014,-0.006,-0.019,0.001,-0.005,-0.023,-0.009,-0.009
2019/8/2,0,0,0,-0.008,-0.012,-0.006,-0.002,-0.016,-0.014,-0.007,-0.008
2019/8/5,-0.033,-0.014,-0.026,-0.027,-0.019,-0.028,-0.024,-0.042,-0.03,-0.027,-0.03
2019/8/6,0.016,0.012,0.009,0.015,0.001,0.015,0.013,0.017,-0.001,0.011,0.014
2019/8/7,-0.013,0.002,0.012,0.004,0.014,-0.001,0,0.006,-0.008,0.002,0.001
2019/8/8,0.019,0.01,0.013,0.019,0.019,0.017,0.013,0.025,0.029,0.018,0.02
2019/8/9,-0.003,0.001,-0.006,-0.009,-0.008,-0.008,0.001,-0.011,-0.011,-0.006,-0.007
2019/8/12,-0.019,-0.002,-0.007,-0.015,-0.016,-0.014,-0.01,-0.013,-0.012,-0.012,-0.012
2019/8/13,0.012,0.001,0.011,0.016,0.011,0.012,0.013,0.025,0.009,0.012,0.016
2019/8/14,-0.037,-0.008,-0.016,-0.031,-0.032,-0.031,-0.028,-0.031,-0.039,-0.028,-0.03
2019/8/15,0.005,0.013,0.015,-0.002,0,-0.001,0.003,-0.002,-0.006,0.003,0.003
